中国电信IPTV,#genre#
贵州卫视,http://n1.jimgo.win:4022/udp/239.93.0.131:5140
湖北卫视,http://n1.jimgo.win:4022/udp/239.93.0.250:5140
安徽卫视,http://n1.jimgo.win:4022/udp/239.93.1.106:5140
河北卫视,http://n1.jimgo.win:4022/udp/239.93.0.132:5140
辽宁卫视,http://n1.jimgo.win:4022/udp/239.93.1.108:5140
河南卫视,http://n1.jimgo.win:4022/udp/239.93.42.45:5140
广西卫视,http://n1.jimgo.win:4022/udp/239.93.42.46:5140
甘肃卫视,http://n1.jimgo.win:4022/udp/239.93.0.81:5140
吉林卫视,http://n1.jimgo.win:4022/udp/239.93.0.248:5140
云南卫视,http://n1.jimgo.win:4022/udp/239.93.1.174:5140
陕西卫视,http://n1.jimgo.win:4022/udp/239.93.0.176:5140
山西卫视,http://n1.jimgo.win:4022/udp/239.93.0.6:5140
内蒙古卫视,http://n1.jimgo.win:4022/udp/239.93.0.8:5140
青海卫视,http://n1.jimgo.win:4022/udp/239.93.0.192:5140
宁夏卫视,http://n1.jimgo.win:4022/udp/239.93.0.247:5140
西藏卫视,http://n1.jimgo.win:4022/udp/239.93.0.175:5140
新疆卫视,http://n1.jimgo.win:4022/udp/239.93.0.194:5140
海南卫视,http://n1.jimgo.win:4022/udp/239.93.0.80:5140
农林卫视,http://n1.jimgo.win:4022/udp/239.93.0.100:5140
兵团卫视,http://n1.jimgo.win:4022/udp/239.93.42.43:5140
厦门卫视,http://n1.jimgo.win:4022/udp/239.93.42.57:5140
三沙卫视,http://n1.jimgo.win:4022/udp/239.93.42.58:5140

纪实人文,http://n1.jimgo.win:4022/udp/239.93.1.137:5140
金鹰纪实,http://n1.jimgo.win:4022/udp/239.93.0.130:5140
求索记录,http://n1.jimgo.win:4022/udp/239.93.42.24:5140
精彩影视,http://n1.jimgo.win:4022/udp/239.93.42.92:5140
动漫秀场,http://n1.jimgo.win:4022/udp/239.93.42.93:5140
金色学堂,http://n1.jimgo.win:4022/udp/239.93.42.95:5140
快乐垂钓,http://n1.jimgo.win:4022/udp/239.93.1.151:5140
法治天地,http://n1.jimgo.win:4022/udp/239.93.42.96:5140
魅力足球,http://n1.jimgo.win:4022/udp/239.93.42.97:5140
中国交通,http://n1.jimgo.win:4022/udp/239.93.0.142:5140
炫动卡通,http://n1.jimgo.win:4022/udp/239.93.0.173:5140
嘉佳卡通,http://n1.jimgo.win:4022/udp/239.93.0.246:5140
CETV1,http://n1.jimgo.win:4022/udp/239.93.1.111:5140
CETV4,http://n1.jimgo.win:4022/udp/239.93.0.50:5140
爱成都,http://n1.jimgo.win:4022/udp/239.93.1.104:1234
都市剧场,http://n1.jimgo.win:4022/udp/239.93.42.30:5140
华语影院,http://n1.jimgo.win:4022/udp/239.93.42.86:5140
星光院线,http://n1.jimgo.win:4022/udp/239.93.0.139:5140
全球大片,http://n1.jimgo.win:4022/udp/239.93.0.105:5140
卡酷动画,http://n1.jimgo.win:4022/udp/239.93.0.208:5140
金鹰卡通,http://n1.jimgo.win:4022/udp/239.93.0.108:5140
优漫卡通,http://n1.jimgo.win:4022/udp/239.93.0.251:5140
青春动漫,http://n1.jimgo.win:4022/udp/239.93.0.146:5140
财富天下,http://n1.jimgo.win:4022/udp/239.93.0.116:9136
东方财经,http://n1.jimgo.win:4022/udp/239.93.0.249:5140
纪实人文,http://n1.jimgo.win:4022/udp/239.93.1.154:5140
爱宠宠物,http://n1.jimgo.win:4022/udp/239.93.42.32:5140
中国天气,http://n1.jimgo.win:4022/udp/239.93.42.66:5140
四海钓鱼,http://n1.jimgo.win:4022/udp/239.93.0.55:5140


CCTV1,http://host.gaoxincloud.cn:4000/udp/239.109.205.118:8880
CCTV2,http://host.gaoxincloud.cn:4000/udp/239.109.205.106:8784
CCTV3,http://host.gaoxincloud.cn:4000/udp/239.109.205.79:8568
CCTV4,http://host.gaoxincloud.cn:4000/udp/239.109.205.159:9108
CCTV5,http://host.gaoxincloud.cn:4000/udp/239.109.205.80:8576
CCTV6,http://host.gaoxincloud.cn:4000/udp/239.109.205.84:8608
CCTV7,http://host.gaoxincloud.cn:4000/udp/239.110.205.7:9774
